Course #,Section #,Instructor,Room #
1105,1,Eary,NH 105
1105,2,Eary,NH 105
1105,3,Eary,Nh 105
1105,4,Eary,NH 105
1301,1,Kashefi,NH 203
1301,3,Kashefi,ERB 124
1301,4,Kashefi,ERB 124
1310,1,Qudah,NH 111
1310,2,Conly,ERB 129
1310,3,Qudah,ErB 129
1310,4,Stefan,ERB 130
1310,5,Tiernan,SH 100
1310,5,Tiernan,SH 100
1311,2,Laleh,WH 402
1320,1,Qudah,NH 111
1320,2,Datta,ERB 130
1320,3,D. French,ARCH401
1320,3,D. French,ARCH401
1320,4,Datta,ERB 131
1320,6,Sharifara,ERB 129
1320,7,Sharifara,ERB 129
1320,8,D. French,ERB 131
1325,1,Gieser,ERB 129
1325,2,Rice,ERB 129
1325,3,Rice,ERB 129
2100,1,Gieser,ERB 126
2100,2,Gieser,ERB 127
2100,3,Gieser,ERB 127
2100,4,Gieser,ERB 126
2100,5,Gieser,ERB 126
2312,1,Kashefi,ERB 130
2312,2,Brezeale,ERB 129
2312,3,Gieser,COBA 253
2315,1,Gopikrishna,COBA 153
2315,1,Gopikrishna,COBA 153
2315,2,Zhu,NH 111
2315,3,Cross,GS 104
2315,4,Park,ERB 130
2315,5,Park,ERB 130
2320,1,Stefan,NH 203
2320,2,Stefan,NH 203
2320,3,Weems,nh 229
2320,all,Weems/Stefan,
2440,1,Cross,WH 210
2440,2,Cross,ERB 126
2440,3,Cross,ERB 127
2441,1,Carroll,ERB 131
2441,2,Carroll,ERB 127
2441,3,Carroll,ERB 127
3302,1,Dalio,ERB 130
3302,3,French,SH 129
3310,1,Khalili,NH 111
3310,2,Davis,NH 112
3310,3,Robb,COBA151
3311,1,Kung,ERB 129
3311,2,Csallner,TH 200
3313,1,Brezeale,PKH 109
3315,1,Barasch,NH 202
3315,2,Barasch,NH 110
3320,1,Bakker,NH 111
3320,2,Rao,NH 112
3320,3,Levine,ERB 131
3323,1,Zaruba,ERB 126
3323,2,Zaruba,ERB 126
3330,1,Saleh,SH 129
3330,2,Sharifara,SH 129
3380,1,Brezeale,NH 108
3442,1,Burns,WH 221
3442,2,Burns,ERB 126
3442,3,Burns,ERB 126
4303,1,Dalio,COBA 140
4305,1,Fegaras,ERB 130
4308,1,Gopikrishna,ERB 131
4308,2,Gopikrishna,COBA 253
4314,1,Cross,WH 308
4314,2,Cross,WH 208
4316,1,McMurrou,WH 221
4316,2,McMurrou,GS109
4316,3,Conly,PH200
4316,4,Conly,GS109
4317,1,McMurrou,WH 221
4317,2,McMurrou,NH110
4317,3,Conly,GS109
4317,4,Conly,ERB 131
4317,5,Conly,GS109
4317,6,Conly,WH 221
4317,7,McMurrou,PH300
4317,8,McMurrou,NH 111
4321,1,Lei,WH 210
4321,2,Robb,ERB 129
4322,1,Siok,WH 208
4323,1,Carroll,WH 208
4334,1,Diaz,NH 111
4340,1,Eary,SH 332
4344,1,Liu,ERB 130
4344,2,Datta,COBA153
4379,1,Huber,NH 105
4380,1,Lloyd,NH 112
4380,2,Lloyd,ERB 106
4380,3,Lloyd,ERB 106
4380,4,Lloyd,ERB 106
4392,1,Levine,ERB 131
5191,1,Elmasri,TBA
5301,1,Gao,NH 110
5301,2,Gao,NH 110
5306,1,Eary,WH 208
5306,4,Eary,WH 208
5307,1,Dalio,ERB 130
5311,1,Ghidini,WH 308
5311,2,Das,WH 210
5311,3,Ghidini,WH 308
5311,5,Weems,ERB 129
5317,1,Fegaras,ERB 130
5320,1,Diaz,LS 101
5320,2,Persaud,PKH 109
5321,1,Robb,ERB 129
5321,2,Robb,ERB 129
5324,1,Robb,ERB 131
5325,1,Khalili,NH 111
5328,1,Kung,ERB 129
5330,1,Dash,WH 208
5330,2,Sharifara,WH 210
5334,1,Ding,NH 112
5334,2,Diaz,NH111
5335,2,Diaz,NH 112
5335,3,Diaz,NH 112
5344,1,Kashefi,SH331
5344,2,Kashefi,ERB 130
5345,1,Mufti,NH 112
5349,1,Liu,PH 210
5351,1,Ahmad,ERB 131
5360,1,Gopikrishna,ERB 129
5360,2,Gopikrishna,COBA 253
5365,1,Dalio,COBA 140
5380,1,Ming,ERB 129
5380,2,Ming,ERB 106
5380,3,Ming,ERB 106
5380,4,Ming,ERB 106
5381,1,Levine,ERB 131
5382,1,Jones,WH 208
5384,1,Huber,NH 105
6311,1,Das,GACB 105
6324,1,Khalili,PKH 102
6329,2,Frailey,ERB 130
6331,1,Levine,ERB 131
6331,2,Elmasri,WH 221
6331,3,Chakravarthy,WH 221
6331,4,Levine,NH 112
6349,1,Che,WH 210
6349,3,Liu,PH 210
6350,1,Jiang S,SH 125
6363,1,Gonzalez,NH 203
6363,2,Kim,GS 109
6369,2,Huber,SH 105
6388,1,Ming/Podolanko,SH 105
